,ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價,lat,lng,鄰近ATM統計,鄰近便利商店統計,鄰近公車站點統計,鄰近國中統計,鄰近國小統計,鄰近大學統計,鄰近捷運站點統計,鄰近火車站點統計,鄰近腳踏車站點統計,鄰近郵局據點統計,鄰近醫療機構統計,鄰近金融機構統計,鄰近高中統計
30,TR-31,台中市,西屯區,工業區一路,-0.1534918479704614,,5,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.0,0.0096985045106746,-0.1380674896675508,1.0,210676,2674260,花台2.65㎡,0.2694537756555923,-0.0108220273183897,0.1273614456091611,1.2314224367040598,24.17320781521704,120.61297363238221,23,11,42,1,1,0,0,0,9,1,13,2,0
31,TR-32,台北市,內湖區,成功路二段,0.6191150695769644,,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.16666666666666,-0.5889703289822094,-0.8193256863726953,0.0,309418,2773288,,-0.1039627472680649,0.2468343715622765,-0.4384519028208025,2.2151759992232694,25.06663864497449,121.58895811429188,80,33,644,0,1,0,0,0,25,2,25,15,0
32,TR-33,高雄市,前金區,民生二路,-0.2433052691567222,,3,12,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),35.25,0.4446239430462925,-0.8193256863726953,0.0,177304,2502806,,0.8358021687564725,0.6358784705344085,-0.4384519028208025,0.9878263164612082,22.623863528417605,120.29281272703071,74,36,303,2,4,0,5,0,49,4,100,32,1
33,TR-34,台北市,大安區,和平東路二段,-1.0099758968906596,,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.166666666666664,-0.406841710731495,-0.8193256863726953,0.0,304609,2768686,,-0.0635092906180019,-0.5722058368001067,-0.4384519028208025,3.8313425662191127,25.025273576251337,121.54111012356759,118,49,641,4,13,8,3,0,86,2,170,44,3
34,TR-35,桃園市,中壢區,公園路二段,1.176621607242925,,4,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.666666666666667,0.9398758955135345,2.183771670531615,2.0,270742,2766664,,0.5495161678483351,-0.1370907261075905,2.4418583123943702,1.5359175870076247,25.007861114641535,121.20550121067104,27,17,70,1,1,0,1,0,11,1,12,2,0
35,TR-36,台北市,內湖區,大湖山莊街,-0.3257163532476212,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333336,-0.9313951128226692,-0.8193256863726953,0.0,310486,2775727,,-0.6148644445408871,-0.0312980325274495,-0.4384519028208025,2.379134926309804,25.08861506040805,121.59965104128595,29,17,301,0,5,0,2,0,11,2,27,10,0
36,TR-37,台南市,新市區,富林路,0.53038315868061,,6,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),4.916666666666667,-0.7647790267258012,-0.1535155213388694,1.0,177456,2553464,,-0.7311327709966622,-1.0602172942826933,-0.4384519028208025,1.4656494753991098,23.081322594747228,120.29192614035583,22,15,47,1,2,0,0,0,0,1,27,4,0
37,TR-38,新北市,五股區,登林路,-0.4372801480420079,,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.25,-0.6062064758198165,0.6652301572410093,1.0,293208,2773561,,-0.9062424889434376,-0.765021552518751,0.3366056272926947,1.9809489605282196,25.06965371737767,121.42829549099643,30,19,529,1,3,4,0,0,10,2,14,4,0
38,TR-39,桃園市,中壢區,永福路,0.1114781730567064,,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.416666666666668,0.1975725050405916,0.2342300736112242,1.0,275598,2761637,,0.7302837119000146,0.1939380247722059,-0.0882881702075419,0.9737726941395052,24.962401534691697,121.25351857625321,40,27,121,0,1,0,0,0,8,1,35,2,0
39,TR-40,台北市,松山區,八德路三段,0.1021291174395121,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.91666666666666,-0.8664722930676826,-0.8193256863726953,0.0,306100,2771335,,-0.5249050094729149,0.0625503246807403,-0.4384519028208025,3.362888488829013,25.049133999891595,121.55599141061121,189,98,568,5,7,0,3,0,43,2,249,64,2
40,TR-41,桃園市,蘆竹區,南祥路,0.1673321711398935,,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.83333333333333,0.2780078569494243,0.7007606300850419,1.0,280453,2771124,,0.7724345163815489,-1.6420771089734696,-0.4384519028208025,1.2314224367040598,25.047962936636406,121.30181045749544,48,29,178,1,2,0,0,0,8,1,56,15,1
41,TR-42,新北市,林口區,信義路,-0.5059440346700912,,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.333333333333334,0.0694504802143789,-0.2060388290213521,1.0,287773,2774928,,-0.2654936825630711,-0.0057030260161249,0.6782287810617295,1.7232992179636646,25.08214076949785,121.3744600388821,30,22,541,1,1,0,0,0,25,1,30,3,0
42,TR-43,台中市,北屯區,敦富一街,-0.4383616583319148,,6,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.1666666666666665,-0.6590639927884783,0.29756700346363,1.0,220153,2675479,,-0.8986044237018174,-1.0226779513994173,0.1401723138754998,1.8638354411806943,24.18442264540974,120.70621985388694,25,16,106,3,1,0,0,1,24,2,24,1,2
43,TR-44,苗栗縣,頭份市,八德二路,0.1407991186941801,,9,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.916666666666667,-0.3396207380648277,-0.8193256863726953,0.0,239770,2732820,,-0.598739640141911,-0.5278411588471442,-0.4384519028208025,1.058094428069723,24.702406515312756,120.89889486056516,13,13,0,0,2,0,0,0,0,0,5,0,0
44,TR-45,新北市,五股區,五福路,0.3252567070282854,,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.916666666666668,0.0269346513482815,0.445868107508287,1.0,293944,2775729,,0.4445634936023679,0.5454427808610621,-0.2313428658483255,1.395381363790595,25.089205247899507,121.43566012372703,23,21,396,1,1,0,0,0,11,1,18,5,0
45,TR-46,台中市,豐原區,三民路,-0.7814407558523522,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),18.08333333333333,-0.0753331532215196,0.5555491323746484,1.0,221760,2683277,,-0.1984484432199601,-0.0347107000622927,-0.4384519028208025,1.09088621348703,24.254862099527177,120.72188435517019,49,19,226,1,5,0,0,1,24,3,151,20,0
46,TR-47,台中市,南區,忠明南路,0.2564966861522104,,18,24,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.75,1.0461654676787775,1.255344967085375,2.0,216037,2668146,,0.7727174076867939,0.3782220716537421,-0.4384519028208025,1.6530311063551495,24.11812773825972,120.66587931787878,43,25,138,2,1,0,0,0,46,1,89,7,2
47,TR-48,新北市,新莊區,福壽街,-0.4344682212882501,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.5,-0.8480870697742351,-0.8193256863726953,0.0,296202,2771588,,-0.4892607050120205,0.0301299830997294,-0.4384519028208025,1.6296084024856448,25.05175285351291,121.45790632288201,106,68,463,1,5,0,1,0,46,5,132,29,0
48,TR-49,新竹縣,竹北市,三民路,0.1562526990588483,,6,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.833333333333333,0.3199491475876014,0.6575061414053504,1.0,251503,2747345,,-0.0833116819851656,0.280961046910709,0.7422831223934235,2.285444110831784,24.83358116628602,121.01487006750828,78,40,96,3,10,0,0,1,0,3,82,21,0
49,TR-50,台北市,文山區,萬安街,1.463630404622194,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),30.416666666666668,1.1432624281972976,-0.8193256863726953,0.0,307636,2766088,,1.1942254525021343,0.907185539554448,0.1423074585865564,2.0418479905889324,25.001706846811604,121.57099446631594,13,7,559,0,2,0,3,0,6,1,3,0,1
50,TR-51,桃園市,中壢區,龍吉二街,-0.5472817613065292,,8,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),26.416666666666668,-0.4510811542813532,-0.8193256863726953,0.0,273910,2758845,,-0.1642185952852913,-0.0312980325274495,-0.4384519028208025,0.9503499902700004,24.93722185638947,121.23675280825474,15,13,84,1,4,0,0,0,5,1,4,0,0
51,TR-52,新北市,新莊區,中央路,0.4196124714321548,,2,28,店鋪,鋼骨造,住宅大樓(11層含以上有電梯),9.666666666666666,2.073439819200157,2.183771670531615,2.0,295958,2772467,,1.9535057157802371,-1.6420771089734696,2.1877760917786517,2.2151759992232694,25.059695925596927,121.45551744011664,80,51,347,1,6,0,3,0,40,2,34,15,0
52,TR-53,台中市,西屯區,福中五街,-0.5939789722685055,,4,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),29.08333333333333,-0.0351154772671035,-0.8193256863726953,1.0,210950,2675067,,-0.1710079866111763,0.8457575239272692,-0.2847214836247367,1.114308917356535,24.180501171266226,120.61564846880295,51,33,305,2,1,0,0,0,30,1,59,11,0
53,TR-54,新北市,三重區,五華街,-0.0487055176594907,住,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.75,-0.6159736256944605,-0.8193256863726953,0.0,299677,2775033,,0.1656326666306058,-1.6420771089734696,-0.4384519028208025,1.9575262566587144,25.08274403522495,121.49247028813771,57,48,428,2,2,0,1,0,35,2,61,10,1
54,TR-55,新北市,新店區,安民街,-0.8627943632153419,,8,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.25,-0.5757559497400438,-0.8193256863726953,0.0,302120,2762408,,-0.629291901108392,-0.3213747729891267,0.2981730224936782,1.7232992179636646,24.968683406902418,121.51621107352865,25,20,492,2,1,0,0,0,12,2,17,1,2
55,TR-56,新北市,板橋區,大同街,-0.3360267513447325,,2,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.916666666666667,0.0872611652799064,0.3624487364831675,1.0,298201,2768820,,-0.189678812757359,-0.1848680715953964,0.1786049186745163,3.034970634655944,25.02670089902192,121.4776210172804,104,75,234,2,2,0,1,0,47,4,131,24,1
56,TR-57,台南市,永康區,永二街,-0.3000485090338329,,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.25,-0.391903716805569,-0.3558847362331412,1.0,172745,2546549,,-0.348097943694668,-0.0927260481546281,-0.4384519028208025,0.7161229515749503,23.018668070951556,120.24629450240396,14,13,57,0,1,0,0,0,1,1,23,2,1
57,TR-58,高雄市,新興區,中正二路,-0.9891868657624509,,11,29,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.9166666666666665,1.3018349791032822,-0.3342574918932954,1.0,179689,2503537,,0.8550387775131459,1.0471049084830215,-0.4384519028208025,1.4375422307557038,22.63056542201627,120.31598007173909,81,44,272,3,5,4,4,1,37,3,160,33,3
58,TR-59,新北市,三重區,元富二街,-0.075022268047223,,16,21,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.0833333333333333,0.0849630123682255,0.903129844979314,1.0,300193,2774539,,-0.1562976387384258,-0.7155378732635237,0.5479849536872851,2.472825741787824,25.078267168745924,121.4975674476765,67,54,304,3,2,0,1,0,26,3,70,12,0
59,TR-60,台北市,大安區,復興南路二段,0.4009864608837601,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),38.91666666666666,0.396937270128913,-0.8193256863726953,0.0,304979,2769150,,1.019115734555359,1.2057939488532337,-0.4384519028208025,4.393487459087233,25.02944914977366,121.5447947467888,179,76,638,6,5,4,5,0,60,4,275,75,5
60,TR-61,新北市,新店區,文化路,0.0365174931851658,,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),49.91666666666666,-0.996892470805576,-0.8193256863726953,0.0,305040,2763950,,-0.8742757714507307,0.8901222018802316,-0.4384519028208025,2.1449078876147545,24.982501516503596,121.54519192583923,117,60,751,1,4,5,3,0,42,6,92,32,3
61,TR-62,台南市,安平區,永華路二段,-0.6307983892493327,,22,22,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.5,-0.0063885658710917,0.6961262205836465,1.0,165790,2543390,,-0.3319731392956921,-0.394747124988257,0.4177411263128406,1.9106808489197045,22.989805325327975,120.1786188286687,34,22,96,2,3,0,0,0,3,2,58,5,0
62,TR-63,台中市,西屯區,文心路三段,-1.2203656986205305,,7,28,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.3333333333333333,-0.3953509461730906,-0.8193256863726953,0.0,215546,2674066,,-0.7150079665976861,-0.3401444444307647,-0.3018026413131887,2.425980334048814,24.171570249120396,120.66090804258918,42,34,238,1,5,0,0,0,43,0,80,6,1
63,TR-64,新北市,三重區,捷運路,-0.9143463537008998,,17,24,住家用,鋼骨造,住宅大樓(11層含以上有電梯),24.58333333333333,0.4360058696274889,-0.8193256863726953,0.0,299053,2772146,,0.7283034727632985,1.1938496124812823,0.1978212210740245,2.2151759992232694,25.056700680140047,121.48618157202283,91,60,378,2,1,0,3,0,35,2,81,18,1
64,TR-65,基隆市,暖暖區,碇內街,0.7585818298509467,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.25,0.5422954417927323,0.5169290531963522,1.0,326184,2776112,,0.5636607331105948,0.1717556857957248,-0.4384519028208025,1.0440408057480202,25.091380115419433,121.75529091327336,11,11,32,1,1,0,0,0,0,1,8,1,0
65,TR-66,台中市,潭子區,榮興街,-0.415217338127909,,5,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.2499927745092708,-0.8193256863726953,1.0,219607,2676037,,-0.5325430747145354,-0.2275264157809372,-0.0007472370542267,1.0440408057480202,24.18945050733092,120.70083395381768,28,21,74,0,1,0,0,1,23,2,35,3,0
66,TR-67,台南市,永康區,中華路,-0.779445970206524,,8,16,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.666666666666664,-0.132212437785623,-0.8193256863726953,0.0,171641,2545004,,-0.0159835513368093,-1.6420771089734696,-0.4384519028208025,0.7863910631834654,23.004665201913337,120.23560314213992,39,24,66,1,4,0,0,0,1,3,66,14,1
67,TR-68,台中市,太平區,立文街,-0.3396798527684178,,14,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.8333333333333335,0.3779775086075454,0.631244487564109,1.0,221030,2672767,,0.1384751013270672,0.0045349765884048,0.1764697739634595,1.27826784444307,24.159951674533108,120.71490635494011,30,29,95,3,7,0,0,0,23,0,45,3,1
68,TR-69,新北市,林口區,南勢,1.071234437882006,,6,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),15.25,-0.1144017527200955,-0.8193256863726953,0.0,286189,2774245,,-0.1537516169912194,-0.4612941419177006,0.1465777480086693,1.676453810224655,25.076013361079255,121.35873944277324,31,18,249,0,1,0,0,0,17,0,18,6,0
69,TR-70,桃園市,大園區,致祥一街,1.741314179946266,,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.0,2.038967525524943,1.9427823764590464,2.0,271434,2766763,,1.7328504976889858,1.0436922409481786,0.7145262411496893,1.7092455956419617,25.008745286461867,121.21235869581704,27,15,86,1,1,0,1,0,10,0,17,6,0
70,TR-71,台北市,信義區,松山路,0.0203429059605595,,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),50.25,-0.8319999993924686,-0.8193256863726953,0.0,308422,2770252,,-0.328861334937995,-0.7820848901929673,-0.4384519028208025,3.222352265611983,25.039268908831783,121.57895728299066,116,74,458,2,9,0,2,0,37,4,178,42,4
71,TR-72,台中市,南區,崇倫北街,0.3656811583088022,,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),28.75,-0.8716431371189649,-0.8193256863726953,0.0,215050,2669488,,-0.4403205092046017,-0.8435129058201462,-0.4384519028208025,1.0674635096175251,24.130223471865982,120.65613717485813,36,26,111,1,2,0,0,0,48,0,83,3,0
72,TR-73,台北市,萬華區,成都路,-1.334356883176708,,7,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),5.5,-0.9940197796659748,-0.8193256863726953,0.0,300657,2770667,,-1.22166629429183,-1.2615646788384458,0.035550223033733,2.707052780482874,25.043295414463593,121.50202452453401,134,73,709,1,3,0,3,0,28,4,76,33,0
